Step,Value
1,-180.4116667
2,-181.6171042
3,-174.216875
4,-168.568125
5,-166.0993958
6,-167.3557708
7,-168.5634167
8,-169.4535625
9,-169.5746042
10,-169.1000417
11,-171.4699583
12,-168.0528333
13,-170.9287292
14,-167.0688958
15,-165.779375
16,-163.80775
17,-166.3855
18,-167.41725
19,-171.4276042
20,-173.2901458
21,-172.6424375
22,-172.4943542
23,-168.3135417
24,-175.7961667
25,-170.3126667
26,-171.9075208
27,-169.1629167
28,-171.6621042
29,-169.7621042
30,-169.3196042
31,-169.1515833
32,-170.4233125
33,-169.1508542
34,-170.37
35,-168.7717708
36,-171.1618958
37,-169.0958958
38,-168.5582083
39,-169.2818125
40,-169.9796875
41,-170.7211042
42,-169.1241458
43,-169.162125
44,-171.5997917
45,-170.0018125
46,-168.6765208
47,-169.66575
48,-169.7011458
49,-170.9731667
50,-172.9830417
51,-174.8256667
52,-167.4512708
53,-169.9334375
54,-171.6756875
55,-173.2868125
56,-168.5775625
57,-169.4445833
58,-170.1777708
59,-168.7690625
60,-172.3537917
61,-171.7948333
62,-168.4023958
63,-172.0612917
64,-170.2021667
65,-171.6866667
66,-170.36025
67,-168.6861458
68,-168.8412083
69,-168.7649583
70,-170.8856458
71,-168.0962917
72,-168.5959792
73,-168.9676458
74,-171.6048125
75,-175.1738125
76,-170.2004375
77,-171.3381667
78,-170.568
79,-165.9210625
80,-170.0099375
81,-168.9195417
82,-169.2341875
83,-169.3439583
84,-166.7822292
85,-169.9109583
86,-166.5817708
87,-167.5828125
88,-167.4638125
89,-171.4105833
90,-168.5805417
91,-168.3388958
92,-167.99125
93,-173.3751042
94,-172.4726458
95,-172.75775
96,-173.2841875
97,-170.4117292
98,-169.8871042
99,-167.9619375
100,-169.6415625
101,-170.2891667
102,-169.8249583
103,-166.9268958
104,-165.7561667
105,-168.4209583
106,-166.9216458
107,-166.6011667
108,-167.899625
109,-167.15525
110,-167.8273542
111,-170.6141042
112,-174.4495417
113,-174.4489167
114,-170.2530417
115,-169.80875
116,-169.3569167
117,-168.6824583
118,-168.4672292
119,-167.7972292
120,-168.4578125
121,-167.1474375
122,-170.2590208
123,-168.6356458
124,-169.4665417
125,-168.99225
126,-171.6798125
127,-172.8510625
128,-167.0932917
129,-168.5837292
130,-169.0969583
131,-168.3892917
132,-170.90975
133,-168.1766458
134,-171.2887083
135,-178.0496458
136,-166.7261667
137,-164.9375
138,-168.8842917
139,-168.1113542
140,-170.5032708
141,-169.6605208
142,-171.864
143,-172.3453542
144,-169.7553125
145,-166.5890833
146,-169.3994167
147,-168.8514167
148,-165.7443958
149,-168.1033958
150,-169.8193125
151,-167.4873542
152,-168.7650208
153,-170.4555833
154,-166.2855625
155,-170.5395833
156,-170.7633333
157,-168.893625
158,-168.5502292
159,-173.3182292
160,-170.1985833
161,-174.9968125
162,-168.82675
163,-169.0861667
164,-168.5393333
165,-175.0040417
166,-172.4591042
167,-167.3034583
168,-168.6659792
169,-168.1638958
170,-167.4193542
171,-168.19575
172,-169.4617708
173,-171.0293542
174,-170.5223958
175,-168.9218542
176,-170.4143958
177,-167.2691667
178,-170.1772292
179,-165.9935625
180,-165.5178958
181,-168.2344583
182,-164.8669792
183,-166.4340833
184,-169.4385625
185,-167.5015417
186,-168.4281667
187,-167.9782917
188,-170.6528542
189,-168.1065208
190,-166.7863125
191,-166.227125
192,-169.3786458
193,-168.4664792
194,-171.3199583
195,-171.9164375
196,-172.079
197,-169.4251875
198,-169.8108958
199,-170.7852292
200,-169.2848542
201,-169.41
202,-170.054375
203,-172.458125
204,-170.8044583
205,-173.2308958
206,-165.7223958
207,-170.2397083
208,-168.6429792
209,-170.1725625
210,-166.1703333
211,-164.6129583
212,-166.3315
213,-167.6070833
214,-167.2235
215,-167.07375
216,-171.0280833
217,-168.6779375
218,-173.7673333
219,-173.8225
220,-172.8872292
221,-172.3337708
222,-172.5467708
223,-174.8077292
224,-175.2247083
225,-173.46525
226,-168.3742917
227,-169.0445417
228,-169.3149167
229,-167.7131875
230,-166.7678958
231,-172.3440208
232,-170.6302917
233,-179.4511875
234,-172.0526042
235,-168.6935833
236,-168.6419375
237,-168.3865833
238,-168.532375
239,-170.1478958
240,-172.1021667
241,-170.7562708
242,-171.490875
243,-170.7632917
244,-166.7210625
245,-167.7819583
246,-169.416125
247,-169.8102083
248,-169.77575
249,-172.9391042
250,-171.2781458
251,-172.1272708
252,-172.5269167
253,-172.4089792
254,-168.6435833
255,-170.0893542
256,-169.7243125
257,-167.8229583
258,-168.8069583
259,-168.0549375
260,-170.7738333
261,-171.0887292
262,-169.1058333
263,-173.6725833
264,-168.9626458
265,-170.0232292
266,-170.62175
267,-173.9981458
268,-173.5144583
269,-172.789
270,-169.4564375
271,-172.7761042
272,-170.2093125
273,-169.85025
274,-169.0960208
275,-167.1514375
276,-167.394375
277,-165.5267292
278,-167.5779583
279,-169.7101667
280,-169.5253333
281,-168.89675
282,-172.409375
283,-169.238375
284,-171.693
285,-171.8641875
286,-168.6694583
287,-169.1833333
288,-168.5872708
289,-168.6951458
290,-168.8418125
291,-169.1778333
292,-167.8492292
293,-166.4876875
294,-171.3497292
295,-169.1802708
296,-166.536125
297,-164.8530625
298,-164.1659375
299,-171.8051458
300,-170.2649167
301,-168.3689167
302,-173.7093542
303,-166.8505208
304,-168.4867917
305,-168.6309375
306,-166.581375
307,-165.7517292
308,-169.1228542
309,-168.0457083
310,-166.2245417
311,-167.5525
312,-166.763375
313,-165.8020208
314,-168.6780833
315,-166.7132917
316,-165.6364167
317,-167.679
318,-166.3213542
319,-170.63525
320,-165.5527292
321,-166.2023542
322,-167.226875
323,-162.6614792
324,-167.5631042
325,-166.7881667
326,-167.5420208
327,-164.3031667
328,-167.4874583
329,-169.9413333
330,-167.9067708
331,-167.969125
332,-169.7996458
333,-168.7093333
334,-168.8975208
335,-169.4503333
336,-170.160125
337,-168.1639792
338,-171.0380833
339,-168.9307083
340,-169.8748958
341,-170.1367083
342,-171.3003333
343,-171.8562083
344,-172.3464583
345,-170.683125
346,-170.5301458
347,-170.5212292
348,-171.8141667
349,-173.6989167
350,-171.0826042
351,-170.4085833
352,-169.9818125
353,-171.6110833
354,-174.2000833
355,-172.24675
356,-169.7629167
357,-169.0133333
358,-167.1551667
359,-170.8580833
360,-168.2110208
361,-171.40575
362,-170.0481667
363,-169.9091458
364,-168.6268333
365,-168.252375
366,-173.2453958
367,-171.7223542
368,-167.8910208
369,-166.8653333
370,-169.6757708
371,-168.2970833
372,-168.0481667
373,-168.497625
374,-168.7179375
375,-170.5568958
376,-169.7010417
377,-167.7214583
378,-165.9775625
379,-167.7188125
380,-166.6421458
381,-173.4734792
382,-170.9694583
383,-172.3446667
384,-172.9622917
385,-167.2455833
386,-169.0240208
387,-169.40325
388,-168.8824375
389,-172.5377292
390,-169.2005833
391,-172.49275
392,-171.6636667
393,-168.7396458
394,-167.8478333
395,-171.0461042
396,-166.7309375
397,-168.3906042
398,-168.3776042
399,-169.7910417
400,-169.1877083
401,-168.0038958
402,-170.6416042
403,-167.989375
404,-167.5262708
405,-169.7861458
406,-168.5114167
407,-170.3399167
408,-168.5066458
409,-165.8115
410,-170.2142292
411,-170.0145625
412,-171.4093958
413,-174.1420625
414,-168.2356042
415,-171.7135417
416,-172.4845833
417,-171.6921458
418,-173.1174792
419,-170.6458125
420,-169.81425
421,-170.9604583
422,-175.0146667
423,-173.3177708
424,-173.0175208
425,-170.7590417
426,-173.0929583
427,-171.876125
428,-172.8380417
429,-172.4992292
430,-170.0976042
431,-171.0474792
432,-171.0633333
433,-171.625
434,-172.2347292
435,-171.2835
436,-171.3634583
437,-172.3283333
438,-173.3900417
439,-172.1952292
440,-173.2864167
441,-173.8356458
442,-168.5822292
443,-172.6096042
444,-170.3065833
445,-170.160375
446,-168.89125
447,-168.2950417
448,-168.2506458
449,-170.5694375
450,-168.4989167
451,-170.4642292
452,-169.331875
453,-168.8360625
454,-170.5026667
455,-171.2066458
456,-168.564875
457,-166.864375
458,-172.0341875
459,-171.798625
460,-169.4244792
461,-168.2396458
462,-168.5701042
463,-169.8099167
464,-175.0601458
465,-168.5264375
466,-173.1906042
467,-172.1778958
468,-167.7763125
469,-166.4715
470,-166.45925
471,-166.7565208
472,-175.0613958
473,-169.9094375
474,-172.4643542
475,-174.24975
476,-172.8419167
477,-168.3579375
478,-167.1518333
479,-168.8882292
480,-168.1477917
481,-169.4800625
482,-170.3073333
483,-168.644875
484,-166.5771667
485,-164.9620417
486,-167.5749792
487,-168.1959167
488,-171.1451042
489,-171.7676042
490,-168.6268125
491,-166.2989583
492,-170.1693958
493,-168.6615625
494,-172.714875
495,-169.3753958
496,-170.1088125
497,-175.4718542
498,-172.1835
499,-170.5078125
500,-170.5073125
501,-168.3848542
502,-169.8497917
503,-173.0471875
504,-170.4365
505,-170.577875
506,-172.5310417
507,-171.2824792
508,-170.1560625
509,-177.2574583
510,-173.9916667
511,-171.0701042
512,-171.4190625
513,-170.282
514,-168.5569583
515,-167.268875
516,-167.1838958
517,-169.5105417
518,-168.1602083
519,-169.8993333
520,-168.6601875
521,-169.9243125
522,-164.8304792
523,-168.1609167
524,-170.3662083
525,-166.4458958
526,-167.3806875
527,-169.6719792
528,-172.9538125
529,-166.3242708
530,-170.77075
531,-170.7637917
532,-169.3834167
533,-172.2569792
534,-169.9894583
535,-168.8837083
536,-172.28925
537,-171.5422708
538,-167.6130208
539,-170.3535625
540,-171.1209792
541,-171.4958125
542,-168.4495
543,-170.3390625
544,-169.7374792
545,-173.4795417
546,-169.2938125
547,-171.1163333
548,-170.3403333
549,-170.2416458
550,-167.6406458
551,-168.133375
552,-169.1867708
553,-171.2289583
554,-172.5465417
555,-170.3275208
556,-170.8391458
557,-168.5980625
558,-170.3909167
559,-170.8405625
560,-170.1362292
561,-171.4157708
562,-170.5208958
563,-169.8000417
564,-167.902375
565,-170.8584375
566,-168.30825
567,-170.1725417
568,-179.30925
569,-169.7207917
570,-170.064125
571,-170.4357292
572,-169.9836667
573,-170.8437083
574,-170.8490833
575,-169.4308958
576,-169.3346042
577,-168.4547917
578,-169.5787917
579,-168.571625
580,-167.558375
581,-169.0381458
582,-168.5211458
583,-168.5889375
584,-167.9874792
585,-166.692625
586,-169.0877292
587,-167.0362917
588,-166.7593542
589,-169.9502917
590,-169.8210625
591,-169.5042708
592,-174.0951875
593,-173.1618542
594,-171.6266042
595,-170.7928542
596,-170.441
597,-166.12875
598,-166.7951458
599,-167.1924167
600,-169.8668958
601,-167.9519167
602,-169.387875
603,-167.7049167
604,-167.9805833
605,-167.2382708
606,-173.2768333
607,-167.9843958
608,-170.1240208
609,-173.5112708
610,-171.978625
611,-169.3253542
612,-166.1775833
613,-167.5025833
614,-165.6671042
615,-168.1211667
616,-166.6310417
617,-165.3211667
618,-165.1151667
619,-171.1750833
620,-169.5255417
621,-169.8983958
622,-168.7509167
623,-167.6849375
624,-166.6352708
625,-166.2388125
626,-168.326
627,-167.6845833
628,-170.6189792
629,-173.3305
630,-171.3095
631,-166.16675
632,-173.1273542
633,-173.5241458
634,-169.1628333
635,-169.30075
636,-167.380125
637,-168.0155625
638,-167.435875
639,-168.0359583
640,-169.7190417
641,-173.1955833
642,-174.7149375
643,-174.9302917
644,-172.9896875
645,-170.7896667
646,-167.40475
647,-170.2734792
648,-171.9204375
649,-172.6813125
650,-169.3482708
651,-168.140625
652,-165.2839167
653,-166.7165208
654,-167.52375
655,-173.6705208
656,-171.7140208
657,-168.2185625
658,-172.2954167
659,-173.5336042
660,-173.2717292
661,-172.4144167
662,-174.9856875
663,-178.5303125
664,-171.8943125
665,-170.4264792
666,-171.7605208
667,-173.08125
668,-168.5116875
669,-170.1871667
670,-174.2719375
671,-173.4950208
672,-172.5070625
673,-171.052
674,-170.9875833
675,-169.6266875
676,-170.8492917
677,-173.244875
678,-171.6269792
679,-172.7955208
680,-170.6194792
681,-170.1346875
682,-170.7129792
683,-173.259125
684,-172.7792083
685,-168.9645208
686,-170.7601458
687,-172.2734583
688,-172.6396667
689,-171.8590208
690,-171.5959792
691,-173.321875
692,-171.8975625
693,-166.934875
694,-172.9885625
695,-169.3833125
696,-168.2602083
697,-165.0215625
698,-166.9721667
699,-163.6263542
700,-167.6783333
701,-166.8877083
702,-168.2967708
703,-167.1655417
704,-166.9592292
705,-164.8855417
706,-166.0646458
707,-166.3386458
708,-167.5389167
709,-167.8962708
710,-168.6742917
711,-166.3525208
712,-167.8630417
713,-171.9018333
714,-170.7043958
715,-169.4478333
716,-167.4251667
717,-167.2100625
718,-167.615
719,-166.1810417
720,-166.3240208
721,-167.8953958
722,-168.5657292
723,-167.448
724,-169.098875
725,-166.9269167
726,-167.433125
727,-171.215625
728,-169.0099792
729,-168.4328958
730,-168.9099792
731,-169.3405833
732,-168.2788333
733,-168.2809375
734,-170.6749792
735,-170.190375
736,-168.7039167
737,-168.2761875
738,-171.2928125
739,-173.3651042
740,-167.913375
741,-167.9875
742,-168.348875
743,-168.646
744,-169.0846667
745,-169.2945625
746,-169.2845208
747,-166.4109167
748,-164.6641667
749,-164.5119792
750,-165.9988125
751,-169.7054167
752,-167.8695833
753,-168.3578125
754,-168.1700208
755,-169.6966875
756,-171.29725
757,-170.7712292
758,-173.0894167
759,-174.63725
760,-171.4242708
761,-171.143125
762,-171.8484583
763,-171.9855833
764,-171.0236458
765,-170.782875
766,-168.6449375
767,-169.7432292
768,-167.3527292
769,-168.3181875
770,-172.4672292
771,-169.9985208
772,-169.6849792
773,-168.5957083
774,-171.3546042
775,-168.3113542
776,-168.489375
777,-169.3484583
778,-169.8256667
779,-168.8929375
780,-169.6397083
781,-168.2221458
782,-170.4003958
783,-171.5078958
784,-173.8601875
785,-174.6347083
786,-174.7367292
787,-172.3929583
788,-172.5109167
789,-171.2353542
790,-173.4074583
791,-171.1778542
792,-170.5638542
793,-172.8279375
794,-175.0604375
795,-172.1300625
796,-170.399625
797,-168.075
798,-169.6984583
799,-171.5183333
800,-171.4550625
801,-171.1823333
802,-171.0206667
803,-167.6186042
804,-170.09125
805,-170.967
806,-171.2383958
807,-171.31725
808,-171.3227708
809,-171.8984167
810,-168.8652917
811,-169.7814792
812,-170.9191875
813,-169.3093958
814,-168.4251458
815,-164.4175208
816,-165.9011042
817,-166.288
818,-166.3178333
819,-168.6066875
820,-168.0809167
821,-169.35425
822,-172.2889583
823,-172.0774583
824,-170.0585
825,-170.3630625
826,-175.043625
827,-176.2406667
828,-174.4763125
829,-173.0136458
830,-168.4370208
831,-166.6268333
832,-167.7093542
833,-167.6393333
834,-170.1774167
835,-169.0875208
836,-170.2424167
837,-172.4896875
838,-174.3728542
839,-172.3056042
840,-171.06475
841,-168.9233958
842,-166.8424583
843,-171.5455
844,-167.7862708
845,-170.7915208
846,-171.9377292
847,-168.8537708
848,-171.2404583
849,-168.5750208
850,-175.4256042
851,-173.0556667
852,-170.0200625
853,-169.1139583
854,-168.6014792
855,-166.6212708
856,-168.5089792
857,-168.2797292
858,-166.0710208
859,-164.5751667
860,-161.8089375
861,-163.5258125
862,-168.2692708
863,-168.1285
864,-168.1639375
865,-167.7612708
866,-168.9835
867,-167.954125
868,-168.4518958
869,-166.5714792
870,-165.3034167
871,-171.6219792
872,-168.3167708
873,-168.4572708
874,-170.3439792
875,-167.0558125
876,-166.3665208
877,-169.9581875
878,-170.2299375
879,-169.2572917
880,-168.378375
881,-171.8648333
882,-168.0782917
883,-167.6578333
884,-171.47775
885,-177.8791875
886,-173.9396875
887,-171.1265
888,-168.0354375
889,-168.9086458
890,-168.4913958
891,-167.5623333
892,-171.7627292
893,-170.136
894,-167.4838542
895,-168.787125
896,-170.987375
897,-170.7812917
898,-169.3681667
899,-171.7756875
900,-169.767375
901,-173.8359375
902,-172.8210625
903,-171.5746042
904,-170.8985833
905,-173.0274792
906,-171.1049583
907,-172.179125
908,-170.6577708
909,-173.4179167
910,-174.6567917
911,-172.0251875
912,-167.7933333
913,-170.4783125
914,-168.5667708
915,-169.901875
916,-169.276
917,-169.0679792
918,-166.0600417
919,-168.8124792
920,-170.3094167
921,-170.6446458
922,-171.8798958
923,-167.3533542
924,-168.6679167
925,-165.0542292
926,-167.9916042
927,-165.5463333
928,-167.8771458
929,-171.3447917
930,-167.8048542
931,-167.0520208
932,-169.085
933,-171.8577292
934,-167.4008125
935,-166.3085833
936,-174.045875
937,-173.2916458
938,-167.6045
939,-167.836
940,-167.6139792
941,-169.7715833
942,-170.92825
943,-168.93925
944,-166.9912917
945,-167.5845833
946,-168.5599792
947,-170.5574792
948,-170.2899167
949,-165.7891458
950,-166.3851042
951,-167.2923542
952,-167.59625
953,-168.4151875
954,-168.2816667
955,-169.66425
956,-167.5249375
957,-166.2886875
958,-170.1926875
959,-167.765625
960,-167.4895417
961,-166.8037083
962,-168.9926458
963,-164.6864375
964,-167.4253333
965,-167.6196042
966,-172.5379167
967,-167.325125
968,-168.8090625
969,-162.1583125
970,-166.2198542
971,-166.3243125
972,-165.4299792
973,-163.2773333
974,-166.7392917
975,-166.8852708
976,-165.5941875
977,-168.7075
978,-166.7225833
979,-163.7540417
980,-166.1703333
981,-167.9667292
982,-168.9362708
983,-170.8272083
984,-169.6772083
985,-172.18875
986,-171.1805833
987,-168.3489792
988,-170.7013125
989,-167.2322708
990,-170.5776042
991,-170.5185625
992,-172.1806042
993,-169.3168958
994,-167.9363333
995,-167.9324375
996,-166.7422292
997,-169.0271458
998,-168.8171875
999,-170.1041042
1000,-169.5452083
1001,-171.6368333
1002,-172.248875
1003,-171.3537917
1004,-168.0763333
1005,-167.3828333
1006,-169.3750833
1007,-170.2585625
1008,-168.3120417
1009,-169.6045
1010,-169.1096042
1011,-168.411875
1012,-166.7041667
1013,-168.0687083
1014,-167.0761458
1015,-165.4072083
1016,-164.2404375
1017,-167.4055833
1018,-165.7270208
1019,-166.723125
1020,-171.7635208
1021,-170.6981875
1022,-174.713125
1023,-170.29225
1024,-167.8920833
1025,-169.260875
1026,-173.1812917
1027,-173.711625
1028,-170.5988125
1029,-172.3041667
1030,-171.7610833
1031,-170.5721667
1032,-171.7366042
1033,-173.6287292
1034,-171.1386875
1035,-168.8964167
1036,-167.0507292
1037,-167.5654792
1038,-164.8407292
1039,-169.221875
